run_id,dataset_name,automodel_name,num_parameters_tuned,s3_bucket,per_device_train_batch_size,learning_rate,epochs,instance_type,num_gpus,global_batch_size,num_steps,hourly_price,volume_size,parallel_enabled,num_nodes,dataset_size,train_time,f1,billable_seconds,cost
0,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,5.0,ml.p3.16xlarge,32,1024,2637.0,28.152,30,True,4,600000,,,,
1,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.16xlarge,32,1024,2637.0,28.152,30,True,4,100000,,,,
2,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.16xlarge,32,1024,2637.0,28.152,30,True,4,1000000,,,,
3,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.16xlarge,16,512,5273.0,28.152,30,True,2,1000000,,,,
4,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.2xlarge,1,32,84375.0,3.825,1024,False,1,100000,,,,
5,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,5.0,ml.p3.16xlarge,32,1024,2637.0,28.152,30,True,4,600000,,,,
6,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.2xlarge,1,32,84375.0,3.825,1024,False,1,1000000,,,,
7,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.2xlarge,1,32,84375.0,3.825,1024,False,1,100000,,,,
8,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.16xlarge,32,1024,2637.0,28.152,30,True,4,1000000,,,,
9,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,5.0,ml.p3.2xlarge,1,32,84375.0,3.825,1024,False,1,600000,,,,
10,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.16xlarge,16,512,5273.0,28.152,30,True,2,100000,,,,
11,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.16xlarge,32,1024,2637.0,28.152,30,True,4,100000,,,,
12,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.2xlarge,1,32,84375.0,3.825,1024,False,1,1000000,,,,
13,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.16xlarge,16,512,5273.0,28.152,30,True,2,100000,,,,
14,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,5.0,ml.p3.16xlarge,16,512,5273.0,28.152,30,True,2,600000,,,,
15,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,5.0,ml.p3.8xlarge,4,128,21094,14.688,1024,False,1,600000
16,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,16,5e-05,5.0,ml.p3.16xlarge,8,128,10547,28.152,1024,True,1,600000
17,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.16xlarge,8,256,10547,28.152,1024,True,1,100000
18,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.16xlarge,8,256,10547,28.152,1024,True,1,1000000
19,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.8xlarge,4,128,21094,14.688,1024,False,1,100000
20,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.8xlarge,4,128,21094,14.688,1024,False,1,1000000
21,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,0.000283,30.0,ml.p3.16xlarge,32,1024,2637,28.152,30,True,4,100000
22,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,0.000283,3.0,ml.p3.16xlarge,32,1024,2637,28.152,30,True,4,1000000
23,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,30.0,ml.p3.16xlarge,8,256,10547,28.152,1024,False,1,100000
24,amazon_polarity,distilbert-base-uncased,66955010,distilbert-benchmarking,32,5e-05,3.0,ml.p3.16xlarge,8,256,10547,28.152,1024,False,1,1000000
